asin,text,title,location_and_date,verified,rating
B09G9FPHY6,"So I have 1 problem with this new 9th gen… the battery life is not any better than the 8th gen I replaced. Just checked & I have 9 charge cycles at only 99% capacity (below 100% already is huge red flag)!?! My 8th gen at this time was still at 105% capacity-both from Coconut battery app MacBook. I actually believe the 8th gen got at least 45mins possibly 1 hour more per charge when using airplane mode + Wi-Fi doing the same stuff/same settings. The safari homepage for some reason does not sync my most frequently visited websites/nor can I view webpages on iPad that I visit/open on my iPhone, or receive text messages from iPhone on my iPads iMessage (it used to work, now does not & I’ve tried everything)… all these things just worked flawlessly on iPad 8th gen! Since I don’t use the center stage camera, the only improvement that I recognize is the 64gb SSD. I think the 8th gen was a better, smoother experience.",Best part is 64gb option,"Reviewed in the United States on November 27, 2022",True,5.0
B09G9FPHY6,"I use this for note taking as I am a pre med undergrad student. Having all my notes on me in one place is the most convenient thing. Every time I threw away a notebook with a whole semester’s work inside it, a little part of me died inside. I also have a loooooooooot of school ahead of me, and so it will be really cool to have notes I wrote down three years ago just a few taps away.It is the ‘smaller’ version, but I am a small person. I can still do the side by side thing (having the IPad split with the textbook on left side, and your note taking app on the right side), but for others it may be too small. The ease of use of the Apple Pencil and the notability app blow my mind. I literally look forward to taking notes in class on my IPad. It is is seamless- highlighting and changing colors, dragging in images from textbooks… that is so freakin cool.So this is truly wonderful. Worth it worth it worth it. I always kiss my iPad goodnight.",Students: ITS TIME TO DITCH THE NOTEBOOKS.,"Reviewed in the United States on November 17, 2022",True,5.0
B09G9FPHY6,"Love my new iPad!  Previously I have had 2 iPad mini. Love the bigger screen. This is a great price too!  Setup so easy!  Don’t hesitate,  get it!  Merry Christmas to me!",Love It!,"Reviewed in the United States on November 28, 2022",True,5.0
B09G9FPHY6,"I had a 6th generation iPad, which had slowed down a lot. I sold it and bought this 9th generation on Black Friday discounted. $269 is a steal.Came brand new in original package. Love it!",Fabulous deal!,"Reviewed in the United States on November 28, 2022",True,5.0
B09G9FPHY6,"As my son has grown and is now in kindergarten, we decided to look into a quality tablet for him as tech use is an everyday part of growing up now and he also uses a tablet at school. After researching a few different options, we landed on this iPad and we are very pleased with the product. The battery life is superb as is the user interface. While this is on the higher end of tablet devices, Apple makes quality products and I have high hopes this will last us a while. Just be sure to purchase items to protect your purchase separately, especially if a child will be handing. Highly recommend!",Great Apple Product!,"Reviewed in the United States on November 20, 2022",True,5.0
B09G9FPHY6,There will always be back reviews in life so I ordered anyway. Best thing I have ever done. The screen is very smooth and clean. The touch is very responses and quick . It came 75% charged so the turn on and pairing was easy and quick. Love it!,Love this,"Reviewed in the United States on November 24, 2022",True,5.0
B09G9FPHY6,"If one wants to get into an Apple product that will that last more than 4-5 years being being obsolete, this may the way forward. I'm been using this for over a month now. The product is great for every day surfing, replying to emails, watching videos and youtube. One slight draw back is using an apple pencil (or like tool) where the there is an noticeable air gap. For the most users, namely not artist, this may be more than acceptable. The new ipads are so expensive making this options really good.",Solid Value,"Reviewed in the United States on November 14, 2022",True,5.0
B09G9FPHY6,"So far so good! Purchased as a birthday gift for my son and he was elated! Easy start up, and hopefully it will be a well used gadget for all of his amazing photography viewing for years to come.  Priced right too!",Happy Birthday gift!,"Reviewed in the United States on November 11, 2022",True,5.0
B09G9FPHY6,"First thing first...spent many hours trouble-shooting the initial wifi connect setup...it wouldn't accept my wifi's password (as printed on the wifi's case)...My other Apple devise's ios' aren't up to Apple's standard to do an auto-setup of my new Gen-9 iPad...so only a manual setup was in order. After Googling, Youtube vids and pnone calls to techies...I was still unable to connect. Then l searched my macbook for the wifi password and found it in my laptop's ""Keychain"", listed as ""Airport Network Password""...completely different password from the one printed on the wifi's case....8 hours had passed to solve the setup problem...Persistance paid off....",Love it.....,"Reviewed in the United States on November 4, 2022",True,4.0
B09G9FPHY6,"It came in perfect condition. Brand new, shrink-wrapped box. Flawless.  All accessories inside.I wanted an iPad for school, because my laptop is an awkward size to fit on the desks or my lap during lecture and sometimes I need to see the slides while I handwrite my notes.I also bought the apple pencil to write notes on the iPad itself. I wanted this for a whole year and finally caved. I do not regret my purchase whatsoever. I love it and it works perfectly for what I wanted.",Exactly what I wanted!,"Reviewed in the United States on November 1, 2022",True,5.0
